,WMT,XOM,MCD,UTX,DWDP,MMM,WBA,NKE,CAT,PFE,INTC,MSFT,AXP,GS,PG,V,DIS,KO,AAPL,CSCO,TRV,IBM,JNJ,MRK,BA,UNH,HD,VZ,CVX,JPM
20090105,-0.011542497,-0.000122489,-0.002980392,-0.011828935,-0.023361454,-0.011657375,0.050489237,0.007161704,-0.017693456,-0.006020799,-0.019078947,0.009345794,0.032074496,0.023282619,-0.007165605,0.007110778,-0.017558528,-0.010021786,0.042203857,0.00884434,-0.014823009,-0.006295067,-0.009892828,-0.01516129,0.020331492,-0.016310257,0.024036469,-0.062355658,0.001829587,-0.066985646
20090106,-0.008846426,-0.01629303,-0.022341095,0.0106814,0.066445183,0.011794872,-0.004843517,-0.020209581,-0.006076389,-0.019823789,0.030851777,0.011695906,0.056140351,-0.000788466,-0.002886929,0.070419918,0.034468085,-0.016065141,-0.016493973,0.03974284,-0.030541208,0.027758581,-0.005995004,-0.018342614,0.003032272,-0.02358143,0.022258195,-0.016009852,0.009000783,0.021538462
20090107,-0.008568368,-0.025529265,-0.014483425,-0.024781341,0.001869159,-0.018922115,0.011980532,-0.036287242,-0.04650655,-0.01741573,-0.060507482,-0.060211946,-0.050308495,-0.047458009,-0.017532572,-0.021697622,-0.046482929,0.004920599,-0.021608256,-0.026419337,-0.039610841,-0.01613807,-0.009381806,-0.016016016,-0.033470093,-0.00754717,-0.027315914,-0.001877347,-0.043826761,-0.059906292
20090108,-0.074900972,0.010734824,-0.011757022,-0.000186846,-0.016791045,0.008782504,-0.007029227,0.01843044,0.008014655,0.009148085,0.007617729,0.031266017,0.00149925,0.010769231,-0.010969221,-0.010645848,-0.012079379,0.006899622,0.018569388,0.012702079,0.018572118,-0.0069484,-0.001860308,-0.004408274,0.000670241,0.015589354,-0.007326007,0.015360502,0.00378583,-0.030971876
20090109,0.003892565,-0.019218612,-0.007435558,-0.015137358,0,-0.014339365,-0.025707899,-0.034637089,-0.018627896,-0.011898017,-0.027491409,-0.029821074,-0.040419162,-0.017445264,-0.009104453,-0.00251076,-0.025764192,-0.014146773,-0.022869471,-0.047890536,-0.005919962,-0.028446891,0.000508302,-0.021457766,-0.00759098,-0.009734182,-0.021730217,-0.007100957,-0.019127155,-0.045922116
20090112,-0.003683598,-0.013278329,0.001498252,-0.006451613,-0.003162555,-0.011430551,-0.009560229,0.010280185,-0.046527778,-0.004587156,-0.025441696,-0.002561475,-0.020800832,-0.074475691,0.001336452,-0.047824524,-0.020170327,-0.019506726,-0.021196732,-0.017964072,-0.022629824,0.011924439,-0.012023709,-0.008005569,-0.015973003,-0.031379962,-0.037300922,-0.011504975,-0.027464982,-0.040816327
20090113,0.014205098,0.018029788,-0.013962766,-0.029793736,-0.013324873,-0.014540995,0.006563707,-0.012370311,0.005098325,0.013248848,-0.008701958,0.017976374,0.008497079,0.003218746,-0.007841175,0.003398792,-0.030192132,0.006631603,-0.010715091,0.00304878,0.018523032,-0.004316883,0.008570449,-0.002105263,-0.029263832,-0.010148322,-0.020026121,-0.009122366,0.014120305,0.057808109
20090114,-0.010744436,-0.036190965,-0.033546864,-0.01515748,-0.02829582,-0.021511111,0.002685079,-0.057575758,-0.049516908,-0.019897669,-0.043160205,-0.036831483,-0.061084781,-0.028619097,-0.027072474,-0.040835529,-0.018867925,-0.031803726,-0.027134876,-0.043161094,-0.042833214,-0.025193344,-0.015125765,-0.021800281,-0.029674988,-0.050473186,-0.02665482,-0.02984127,-0.029657477,-0.016698292
20090115,-0.004072925,0.020772304,0.011337868,-0.006795922,0.00595632,0.002361919,0.029074216,0.00664523,0.001016518,0.008700696,0.016055046,0.007857517,-0.028603477,-0.02457392,-0.006913239,-0.03119482,0.026923077,0.01736274,-0.022852455,0.004447268,-0.0005,0.011179228,-0.005694564,0.010783609,-0.005825243,0.033637874,0.041077134,-0.021596859,0.015497202,-0.060594365
20090116,0.004089581,0.018784242,0.029147982,0.028375931,-0.011184211,0.022657241,0.000371747,-0.003407155,0.004061945,0.006325474,0.033860045,0.024428274,-0.017898383,-0.010564811,0.004698921,-0.039894694,0.004681648,0.011070111,-0.012592948,0.000632511,0.026763382,0.009510223,-0.003123915,0.002489331,0.036621094,0.024507834,0.017097764,0.002006689,0.013706373,-0.062448644
20090120,-0.01939488,-0.023175416,-0.043572985,-0.034050881,-0.075848303,-0.044310528,-0.03604608,-0.056837607,-0.031099874,-0.017142857,-0.064046579,-0.062404871,-0.082892416,-0.189596167,-0.005196605,-0.105252057,-0.056849953,-0.02189781,-0.050163974,-0.051201011,-0.065529842,-0.03462082,-0.012012535,-0.010642072,-0.049458314,-0.05254902,-0.052155172,-0.003004005,-0.047811542,-0.207274321
20090121,-0.028085443,0.038930397,0.028561416,-0.002228525,0.066954644,0.005934718,0.015034695,0.034435886,0.032098121,0.01627907,0.031104199,0.048701299,0.081410256,0.180743243,0.00243775,0.041489863,0.048913043,0.009561567,0.059207161,0.045969354,0.058915537,0.115150037,-0.006872247,-0.011473646,0.047324083,0.036837748,0.013187813,0.034482759,0.042746304,0.250967385
20090122,-0.005494505,-0.012995206,0.000340716,-0.006091371,-0.029689609,-0.003318584,0.017850361,-0.00065703,-0.058659924,-0.015446224,-0.033182504,-0.117131063,-0.048014226,0.016165951,-0.010595796,0,-0.012246821,-0.003927004,0.06676325,-0.021019108,-0.050713934,-0.014767009,0.009048971,-0.004352557,-0.000236574,0.085429142,-0.013913824,-0.02394822,-0.017969956,0.020768891
20090123,-0.010640475,-0.002428736,-0.011920981,-0.031460674,-0.003477051,-0.02145764,0.004850746,0.00109577,-0.042170293,0.013945381,0.023400936,0.005260082,-0.00373599,0.054624806,-0.016853933,0.003168855,-0.017167382,-0.021335807,0,0.033832141,-0.01659751,-0.006439436,-0.015825567,0.027322404,-0.006625651,0.031261493,-0.011379153,0.00928382,0.012437455,0.051082251
20090126,0.005170631,0.007175807,0.006549466,0.026576672,-0.076064201,0.012476371,-0.00482733,-0.000218914,-0.083847448,-0.103151862,0.019817073,0.025,-0.05,-0.00947804,0.006607143,-0.039034296,0.012130034,0.019668246,0.014486193,0.025802391,-0.008966245,0.023578053,0.010362694,-0.014539007,0.024535493,0.003922967,0.046500921,0.018068331,0.006636543,0.009060956
20090127,0.003909465,0.004071247,0.002054795,0.011711527,-0.003776435,0.008028379,0.007462687,-0.003503394,-0.010713193,0.01086262,0.032137519,0.001701645,0.097368421,0.054716981,0.005854178,0.036628317,0.018696069,0.00697188,0.01215975,0.026380368,0.061468866,0.000655022,0.017506631,0.020870817,0.004882585,0.0330373,-0.02683678,-0.033236528,0.01122177,0.022857143
20090128,-0.00122976,0.00418145,0.011619959,0.028838343,0.018953753,0.026486386,0.032962963,0.045923973,0.021039604,-0.024020228,0.014482259,0.021517554,0.070143885,0.120623562,0.026102293,0.069535674,0.048470588,0.01223171,0.038245343,0.008965929,0.033843068,0.034475235,0.017726799,0.014451886,0.000462749,0.031292985,0.039783002,0.032042724,0.023581634,0.103750998
20090129,-0.017853478,-0.028391167,-0.017905405,-0.03908409,-0.084077381,0.020389751,0,-0.033823529,-0.034848485,-0.020725389,-0.045681656,-0.024944568,-0.063865546,-0.056784493,0.000687521,-0.020118594,-0.046229803,-0.007067943,-0.012738854,-0.056279621,-0.043889428,-0.024361949,-0.004781421,0.005559416,-0.058510638,-0.043347783,-0.043478261,-0.022315653,-0.042959751,-0.080621837
20090130,-0.015461763,-0.006753247,-0.002063983,-0.014174199,-0.058489033,-0.048806366,-0.01721047,-0.016090454,-0.031397174,-0.035714286,-0.035153328,-0.027856737,0.001196888,-0.02405706,-0.063895569,0.066565809,-0.026823529,-0.019058553,-0.030860215,-0.060263653,-0.020035506,-0.009296292,-0.010123542,-0.013476158,0.039302383,-0.012547926,-0.021363636,-0.0119087,-0.001416029,0.003145891
20090202,-0.011672326,0.002745816,-0.002068252,-0.009376954,-0.04659189,-0.058932887,-0.014228384,-0.018121547,-0.01815235,0.021262003,0.056589147,0.042690058,0.014943216,0.035178992,-0.026605505,0.012563323,-0.023210832,-0.011235955,0.015311217,0.022712091,0.003881988,-0.007855974,0,-0.004203152,-0.035688962,0.028944582,0.001857873,0.024104453,-0.003261486,-0.012152097
20090203,0.026626584,0.018646499,0.016925734,0.016196887,0.027149321,0.020150138,0.027017024,0.042088679,-0.009904259,0.020819342,0.007336757,0.037577117,-0.052414605,-0.009094173,0.016211122,-0.031618971,0.020792079,0.025568182,0.016063818,0.020248204,0.010311936,0.02804355,0.015427284,0.063665142,0.031617647,0.020240137,0.01622624,0.031709709,0.019206146,-0.045634921
20090204,-0.029073416,-0.005888377,-0.01732337,-0.016145726,-0.051101322,-0.015491867,-0.027027027,-0.011231102,0.020340113,-0.041447368,0.010924982,0.007027027,0.016780609,0.062311315,-0.025783714,0.015292416,-0.0785645,-0.021237304,0.006130351,0.014084507,-0.01428936,-0.006953359,-0.010583817,-0.011243386,-0.002851033,-0.025554808,-0.008667883,-0.030101394,-0.000558347,-0.0004158
20090205,0.046100819,0.027298481,0.008641549,0.010940459,0.012999071,0.013965382,0.021111111,0.031017912,0.033006536,-0.004804393,0.026657061,0.022007515,0.040953545,0.055473457,0.015232292,0.093832689,-0.015263158,0.006839623,0.03110636,0.03219697,-0.009060316,-0.004524399,0.002587992,0.006688963,0.017869907,-0.00621118,0.03083295,0.018948056,0.023044693,0.020798669
20090206,0.022034596,0.007019303,0.001713502,0.020395421,-0.002749771,0.016294859,0.021400073,0.031355932,0.052831382,0.023448276,0.033684211,0.032563025,0.052847915,0.04006462,0.012753188,0.031075549,0.039551042,0.020145233,0.033796392,0.042201835,0.037617555,0.040363597,0.006883497,0.022259136,0.004681648,0.004861111,0.050446429,0.016992626,0.022525597,0.12591687
20090209,-0.007052186,-0.010704506,0.009579199,0.012033449,-0.021139706,0.032830693,-0.005681818,-0.018693509,-0.016826923,-0.008760108,0.012219959,-0.011190234,-0.010039041,0.013668841,-0.01962963,-0.001624256,-0.000514139,-0.02847302,0.027978339,-0.011150235,0.022406848,0.007073019,-0.000170911,-0.003899903,-0.002795899,0.020041465,-0.018699533,-0.010403531,-0.006408545,-0.012667391
20090210,-0.031655844,-0.04202315,-0.029481532,-0.0515921,-0.028169014,-0.055997043,-0.034285714,-0.056939502,-0.055012225,-0.043507818,-0.055667337,-0.032921811,-0.10028169,-0.076514455,-0.02814507,-0.026572668,-0.034979424,-0.038761522,-0.045654083,-0.047477745,-0.043585324,-0.036665978,-0.03025641,-0.053507341,-0.060514019,-0.052506775,-0.038111737,-0.044281618,-0.044342919,-0.097507331
20090211,0.010687343,-0.020488574,-0.00349162,0.011899703,-0.029951691,0.004111198,-0.005547337,-0.016426193,0.006791721,0.022032694,0,0.021808511,0.024420789,0.047676991,-0.00563654,0.020612813,-0.013859275,0.014752889,-0.010324031,0.007476636,0.054582904,0.02026375,0.010576415,0.024474319,0.002984332,0.020736503,-0.003151733,-0.000666667,0.001968504,0.059707555
20090212,-0.002073398,0.008581389,-0.002102313,-0.014909702,0,-0.025736011,0.003718855,0.00338524,-0.003533569,0.018776078,-0.005681818,0.002602811,-0.010391198,0.009185936,0.002345582,0.026200873,0.017837838,0.075599709,0.025304689,0.001855288,0.019042969,-0.000945776,0.007849294,-0.012786003,-0.011653856,0.032574431,-0.007226739,-0.004002668,-0.019646365,0.003832886
20090213,-0.033243299,-0.008375432,-0.002633427,0.003837135,-0.050796813,-0.011006604,-0.031863653,-0.023166892,-0.002578981,-0.004778157,-0.008571429,-0.008826584,-0.027794935,0.009102323,-0.003705148,-0.007978723,-0.016463091,-0.012164902,-0.001108089,-0.00617284,-0.032822233,-0.012937835,-0.011768778,-0.020109066,0.015554441,-0.017639077,-0.034576888,-0.010046885,-0.001860865,-0.057273769
20090217,0.036750484,-0.044375922,-0.019890864,-0.029942663,-0.095487933,-0.040469446,-0.025641026,-0.034308082,-0.063348416,-0.022633745,-0.048270893,-0.052383447,-0.113087675,-0.111353033,-0.019181836,-0.030384272,-0.036717063,-0.028506271,-0.046692215,-0.050310559,-0.029725043,-0.033780904,-0.019614711,-0.004869565,-0.050642292,-0.018646409,-0.060320452,-0.043978349,-0.050910655,-0.123126772
20090218,0.036484245,0.009259259,0.013110632,-0.018169877,-0.002320186,-0.005904682,0.007069914,0.037672866,-0.01863354,-0.006315789,0.011355034,0.001658375,0.010028653,-0.014117373,0.016763121,0.035023041,-0.0117713,0.001877934,-0.001692584,0.005232178,-0.006127138,0.009264365,-0.002679528,0.001048584,-0.011709602,-0.003166784,-0.007021063,-0.006723284,-0.000906618,-0.006466513
20090219,0.009,0.003058104,-0.019500089,-0.002898551,-0.046511628,-0.001484938,0.007410296,-0.016314338,-0.049929677,-0.009180791,-0.050898204,-0.011589404,-0.087234043,0.017869822,0.003532875,-0.009260908,0.00340329,0.01452671,-0.039525273,-0.021470397,-0.011045466,-0.02819364,0.001791152,-0.003840782,-0.010795155,0.011295447,0.018181818,-0.002850018,0.008469449,-0.042305904
20090220,-0.00852329,-0.012888027,-0.013379136,-0.016323792,-0.012195122,0.003824092,-0.029036005,0.002803083,-0.013323464,-0.022808268,0.007886435,0.005025126,0.007770008,-0.016509708,-0.017211031,0.000539277,-0.009044658,-0.010623557,0.006178288,0.002659574,-0.004155844,-0.001574272,-0.02288575,-0.015071854,-0.033537397,-0.023385689,-0.034722222,0.029296177,-0.024145171,-0.033980583
20090223,-0.022790884,-0.027095325,-0.012827561,-0.0372812,-0.085185185,-0.038941799,-0.037480064,-0.030747729,-0.057764441,-0.032093363,-0.054773083,-0.043888889,-0.063222822,-0.053434212,-0.026865672,-0.025332375,-0.031945237,-0.017507003,-0.046600877,-0.047745358,-0.022170057,-0.049780381,-0.018298262,-0.007829181,-0.050950151,-0.148677627,-0.038540596,-0.033321763,-0.032733979,-0.01959799
20090224,0.02311784,0.04025974,0.016521255,0.015348288,0.071524966,0.043822946,0.009527755,0.03196347,0.036624204,0.024114544,0.053807947,-0.00232423,0.120987654,0.16123392,0.017791411,0.038709677,0.055981143,0.023045854,0.037952846,0.043871866,0.046679114,0.024060685,0.016589003,0.023314204,0.02843877,0.016372796,0.104756815,0.025852783,0.037178265,0.077396207
20090225,-0.015996801,-0.000554862,-0.008582907,-0.034418605,-0.056675063,-0.016666667,-0.03487895,-0.018397764,-0.038786482,-0.037527594,0.023566379,-0.012230635,-0.040381791,-0.032910303,0.003013864,-0.016503993,-0.03125,-0.016024152,0.010083102,-0.014676451,-0.034148828,-0.005787037,-0.010634397,-0.021731511,-0.043171558,-0.04874019,-0.017416546,-0.000700035,-0.027267157,0.033777355
20090226,-0.01950823,-0.015267176,-0.038496961,-0.010115607,-0.005340454,-0.006007295,-0.009353741,-0.026571767,-0.031961646,-0.029051988,-0.024558711,-0.031839623,-0.038255547,0.024799822,-0.019030449,0.011548178,-0.028801843,-0.030682086,-0.021610355,-0.018957346,-0.031398417,0.035739232,-0.028169014,-0.067001075,-0.035387791,-0.128528007,0.016248154,-0.002451839,-0.00519685,0.060745513
20090227,0.020518135,-0.04298802,0.000957854,-0.006569343,-0.038926174,-0.018778329,0.024034335,0.012186205,0.015683038,-0.030708661,0.002360346,-0.016443362,-0.040572792,-0.011611503,-0.016336533,0.01159472,-0.005338078,-0.005356708,0.001345442,0.005521049,-0.015254699,0.034393616,-0.046529367,-0.070660522,-0.038826047,-0.020926756,0.012112403,0.001755618,-0.038942536,-0.00867679
20090302,-0.024370431,-0.044035346,-0.007655502,-0.04065638,-0.030726257,-0.057633084,-0.025984912,-0.042619793,-0.099146688,-0.0528026,-0.033751962,-0.022291022,-0.08291874,-0.052810716,-0.026987752,-0.044965615,-0.04293381,-0.028396573,-0.015339828,-0.017158545,-0.012171508,-0.032380745,-0.0416,-0.031404959,-0.061386768,-0.11043257,-0.0464337,-0.035401332,-0.05089771,-0.073960613
20090303,-0.013738551,-0.008473271,0.011186114,-0.01582844,-0.001440922,0.006535948,-0.020223752,0.007293763,0.0135318,0.018010292,-0.002437043,0.00569981,0.068716094,-0.045206909,-0.005120546,0.003692762,0.019314642,-0.021667926,0.004889698,0.004888268,-0.026883226,-0.014373947,-0.005843072,-0.016638225,-0.005083023,0.018306636,-0.051706827,-0.007630814,0.001909059,-0.007088847
20090304,0.023427607,0.020509633,0.013732596,0.015823606,0.018759019,0.039424861,0.000439174,0.062421973,0.132176235,0.053074979,0.039087948,0.01511335,-0.009306261,0.037635061,0.014582887,0.017108168,0.035452323,0.023177955,0.031684961,0.059763725,0.025611511,0.019596673,0.030646516,0.005206074,0.032356948,0.008988764,0.006352567,0.030757964,0.026849125,-0.081389814
20090305,0.025984739,-0.052679659,-0.043085607,-0.031664964,-0.083569405,-0.051539491,-0.041264267,-0.0613396,-0.076650943,0.0136,-0.035266458,-0.052729529,-0.117847993,-0.043875044,-0.040372014,-0.033821668,-0.056080283,-0.047319406,-0.025556652,-0.045901639,-0.047699214,-0.02246061,-0.029124236,-0.044454035,-0.030353019,-0.089643653,-0.045239348,-0.008525755,-0.04757085,-0.139896373
20090306,-0.016884422,0.029090325,0.024773889,0.016350211,0.098918083,-0.015996236,0.011446886,0,-0.01106854,0.004735596,0.008123477,0.000654879,-0.006776379,-0.074278023,0.006828194,-0.060464246,-0.010006254,0.033025099,-0.039846916,-0.025429553,0.01473188,-0.019090078,0.006293266,0.027100271,0.024157877,0.094801223,-0.008264463,-0.022572555,0.032058094,-0.040361446
20090309,-0.028624003,0.008433547,0.003837299,-0.025428127,-0.109704641,0.005737509,-0.026708918,-0.034301452,0.02970297,-0.00785546,0.011281225,-0.008507853,0.037037037,-0.02247191,-0.033471888,-0.007770472,-0.015161087,-0.008951407,-0.025674091,-0.039492243,-0.026713124,-0.027153012,-0.028559516,-0.076956904,0.029900332,-0.006145251,0.012777778,-0.040322581,0.000171615,-0.001883239
20090310,0.024415912,0.043673533,0.005351682,0.08599574,0.085308057,0.081293083,0.051162791,0.078817734,0.108277592,0.036421219,0.109163347,0.087788779,0.143796992,0.153211629,0.02240833,0.061646586,0.065426555,0.010580645,0.06638792,0.074522761,0.06473747,0.045160517,0.025321888,0.057646498,0.06483871,0.085441259,0.065277016,0.054621849,0.060054907,0.226415094
20090311,-0.024861311,-0.024039175,-0.029847909,0.006619269,-0.064046579,0.028797538,0.001769912,0.043739486,-0.007544323,-0.022918258,0.002873563,0.038228155,-0.019720624,0.08337242,-0.002213859,-0.028371477,-0.001204094,0.010469867,0.045725085,0.026306799,-0.018212384,0.015702006,0.002511511,-0.011711712,0.007876401,-0.009839461,0.01338826,-0.006157189,-0.009064422,0.046153846
20090312,0.031184155,0.020982211,0.0223398,0.018022406,0.088646967,0.025641026,0.034893993,0.026709648,0.026985937,0.096168882,0.040114613,-0.005844535,0.102263202,0.052603096,0.015753273,0.052949192,0.050632911,0.032095021,0.039598619,0.032623169,0.056792237,0.020085759,0.022964509,0.095259799,0.010820559,0.067468619,0.033028455,0.025510204,0.035609278,0.137254902
20090313,0.005108296,0.000744602,0.004025302,-0.029425837,0.08,0,0.019206146,0.001794124,-0.008882309,0.037089872,0.012396694,-0.021164021,-0.004562738,0.015938303,0.025557012,-0.03771492,-0.017211704,0.009304603,-0.004359107,0,0.035376722,-0.000442478,0.033469388,0.126508531,-0.006839132,0.046545811,0.018691589,0.009239517,-0.007728707,0.023706897
20090316,-0.007928441,-0.003422619,-0.013172967,0.013556815,0.044973545,-0.011041667,-0.018425461,-0.017013656,-0.013442868,-0.026822558,-0.030612245,-0.024024024,-0.032849503,-0.049595142,0.018530351,0.002305476,0.004670169,0.001213003,-0.005316377,-0.003868472,-0.005477308,0.009517486,0.001777251,-0.031769487,0.012874251,-0.031835206,-0.027522936,0.00528169,0.000476872,-0.027789474
20090317,0.024590164,0.031655965,0.037724898,0.014348249,0.020253165,0.027175058,0.03668942,0.034160783,0.015518547,0.007773852,0.045614035,0.04,0.020537125,0.054206603,0.00334588,0.059804485,0.035444509,0.004361522,0.044435129,0.044660194,0.05350118,0.018526639,-0.000197122,0.015261351,0.018031333,0.041586074,0.06653426,0.044833625,0.037654909,0.088783023
20090318,0.0088,0.00115791,0.033184191,0.004075761,0.019851117,0.00902379,-0.011522634,0.011231006,0.023853895,-0.000701262,0.022818792,0.003550296,0.090557276,0.063238711,0.000833681,0.018448182,0.01627385,0.00482509,0.018663456,0.022304833,0.024645258,-0.01033258,-0.001182965,0.01315295,-0.020034843,0.019034355,0.051210428,0.031511901,0.019598836,0.078361177
